id,judul,genre,sinopsis
523,Tonari no Totoro,"Adventure, Award Winning, Supernatural","Di Jepang tahun 1950-an, Tatsuo Kusakabe merelokasi dirinya dan kedua putrinya, Satsuki dan Mei, ke pedesaan agar lebih dekat dengan ibu mereka, yang dirawat di rumah sakit karena penyakit jangka panjang. Saat gadis-gadis itu mulai mengenal kehidupan pedesaan, suatu hari Mei bertemu dengan makhluk kecil seperti kelinci di halaman. Mengejarnya ke dalam hutan, dia menemukan ""Totoro""—roh hutan mistis raksasa yang kemudian dia berteman. Tak lama kemudian, Satsuki juga bertemu Totoro, dan kedua gadis itu tiba-tiba mendapati hidup mereka dipenuhi dengan petualangan magis di alam dan makhluk-makhluk fantastis di hutan."
524,Onegai☆Twins: Natsu wa Owaranai,"Comedy, Drama, Romance","Dua minggu telah berlalu sejak dilema antara Maiku, Karen, dan Miina terselesaikan, namun hidup mereka lebih sibuk dari sebelumnya. Karen menjadi kerasukan pada saudara laki-lakinya yang baru ditemukan dan Miina juga sangat membutuhkan perhatian, sehingga hanya menyisakan sedikit waktu bagi Maiku untuk berkonsentrasi pada pekerjaannya. Oleh karena itu dia memutuskan untuk pergi ke hutan dan mendirikan kemah, di mana dia bisa bekerja dengan tenang. Tapi, seperti biasa, ada Morino yang selalu berbuat jahat. Untuk membuat segalanya lebih menarik, dia mengatur kunjungan lapangan ke lokasi perkemahan Maiku, dan mendorong semua orang untuk membuat kenangan musim panas yang indah."
525,Otogizoushi,"Adventure, Drama, Fantasy","Saat itu tahun 972 M di Kyoto, ibu kota Jepang kuno. Kyoto menjadi kota yang korup dan kumuh; samurai egois dan onmyoji, yang hanya peduli pada perolehan kekuasaan politik ada dimana-mana. Yang lebih buruk lagi, kota ini menderita kelaparan dan penyakit yang menyebar luas. Tidak dapat lagi mengabaikan kondisi kota, Pengadilan Kekaisaran memutuskan untuk mengirim Minamoto no Raiko, seorang samurai terkenal yang terkenal dengan keterampilan memanahnya, untuk memulihkan permata legendaris yang dikatakan memiliki kekuatan misterius untuk menyelamatkan dunia. Namun Raiko juga jatuh sakit karena penyakit. Sebaliknya adik bungsunya, Hikaru, diam-diam memutuskan untuk melakukan perjalanan menggantikannya. Hikaru bertemu banyak orang, dan mengalami banyak petualangan saat dalam perjalanannya mencari permata legendaris.

(Sumber: JST)"
526,Boku no Chikyuu wo Mamotte,"Drama, Sci-Fi","Alice Sakaguchi pernah bermimpi bahwa dia adalah orang lain yang tinggal di bulan. Mimpi itu begitu aneh dan nyata sehingga Alice tidak bisa berhenti memikirkannya. Dia mengetahui bahwa beberapa teman sekelasnya mengalami mimpi yang sama. Mereka segera menyadari bahwa mereka telah melihat sekilas kehidupan masa lalu mereka sebagai tim ilmuwan di bulan. Alice dan teman-temannya kemudian memutuskan untuk mencari anggota lain dan mengumpulkan apa yang terjadi saat itu. Komplikasi muncul ketika mereka menyadari bahwa segala sesuatu yang terjadi di kehidupan mereka sebelumnya terus menghantui dan mempengaruhi kehidupan mereka saat ini. 

(Sumber: JST)"
527,Pokemon,"Action, Adventure, Comedy, Fantasy","Pokémon adalah makhluk aneh dengan beragam kemampuan dan penampilan berbeda; banyak orang, yang dikenal sebagai pelatih Pokémon, menangkap dan melatih mereka, seringkali dengan tujuan untuk melawan orang lain. Satoshi muda tidak hanya bermimpi menjadi pelatih Pokémon tetapi juga ""Master Pokémon"", dan menjelang ulang tahunnya yang ke 10, ia akhirnya memiliki kesempatan untuk mewujudkan impian tersebut. Sayangnya baginya, ketiga Pokémon yang tersedia untuk pelatih pemula telah diklaim dan hanya Pikachu, Pokémon tipe Listrik yang memberontak, yang tersisa. Namun, pertemuan kebetulan ini akan menandai dimulainya persahabatan seumur hidup dan petualangan epik!

Memulai perjalanan untuk menjadi yang terbaik, Satoshi dan Pikachu melakukan perjalanan melintasi wilayah yang indah dan luas bersama teman-teman mereka Kasumi, seorang pelatih tipe Air, dan Takeshi, seorang pelatih tipe Batu. Namun bahaya mengintai di setiap sudut. Team Rocket yang terkenal selalu ada di dekatnya, berusaha mencuri Pokémon yang kuat melalui skema jahat. Satoshi dan teman-temannya harus menggagalkan upaya mereka karena dia juga berusaha mendapatkan delapan Lencana Gym Pokémon yang dia perlukan untuk menantang Liga Pokémon, dan pada akhirnya mengklaim gelar Pokémon Master."
528,Pokemon Movie 01: Mewtwo no Gyakushuu,"Action, Adventure, Award Winning, Comedy, Drama, Fantasy","Menggunakan fosil Pokémon Mew Legendaris, Team Rocket telah menciptakan klon Pokémon pertama yang berhasil. Dinamakan Mewtwo, Pokémon buatan manusia dengan cepat menjadi kesal dengan keadaan penciptaannya dan terus mengamuk. Ia segera didekati oleh Sakaki, pemimpin Tim Rocket, dan dimanipulasi untuk melakukan tindakan jahat.

Muak dengan tipu muslihat umat manusia dan kekejaman yang dideritanya, Mewtwo mengisolasi dirinya dari semua orang dan berkomplot melawan manusia sambil mencoba menemukan tujuan hidup sebenarnya. Menyamar sebagai pelatih Pokémon terkuat di dunia, Mewtwo menarik pelatih paling kuat di kawasan yang ingin melawan lawan baru yang misterius. Dengan nasib dunia yang dipertaruhkan, pelatih terkenal Satoshi, Takeshi, dan Kasumi harus bertarung melawan Mewtwo dan mengalahkannya sebelum hal itu menyebabkan kehancuran umat manusia."
529,Saishuu Heiki Kanojo,"Drama, Romance, Sci-Fi","Chise adalah seorang siswi biasa: kecil, lemah, dan tidak terlalu pintar. Kegembiraan terbesarnya adalah percintaannya dengan teman sekelas dan teman masa kecilnya, Shuuji. Mereka berdua tinggal di kota militer kecil di Hokkaido, di mana siswa sekolah menengah hanya memiliki sedikit kekhawatiran selain siapa yang berkencan dengan siapa dan mengeluh tentang pendakian curam ke ""Bukit Neraka"" setiap hari sebelum sekolah.

Suatu hari, Shuuji dan teman-temannya melakukan perjalanan ke Sapporo untuk membeli hadiah untuk pacar mereka. Serangan udara besar-besaran di Sapporo hari itu menewaskan ribuan orang, termasuk salah satu teman Shuuji, dan menandakan dimulainya perang. Melarikan diri dari pembantaian, Shuuji melihat Chise, meskipun sekarang dia memiliki sayap baja dan senjata besar di tempat lengan kanannya seharusnya berada. Bertentangan dengan keinginannya, dia telah berubah menjadi senjata cyborg terhebat, yang mampu meratakan seluruh kota.

Saat perang semakin dekat ke kampung halaman mereka, hubungan Chise dan Shuuji menjadi tegang karena perubahannya, dan mereka bertanya-tanya apakah dia masih manusia."
530,Bishoujo Senshi Sailor Moon,"Fantasy, Romance","Usagi Tsukino adalah siswa biasa-biasa saja dan cengeng yang selalu mendapat nilai rendah dalam ujiannya. Tanpa diduga, kehidupannya yang membosankan berubah drastis ketika dia menyelamatkan seekor kucing dengan bulan sabit di kepalanya dari bahaya. Kucing tersebut, bernama Luna, kemudian mengungkapkan bahwa pertemuan mereka bukanlah sebuah kebetulan: Usagi ditakdirkan untuk menjadi Sailor Moon, penjaga planet dengan kekuatan untuk melindungi Bumi. Diberikan bros khusus yang memungkinkannya bertransformasi, dia harus menggunakan kekuatan barunya untuk menyelamatkan kota dari monster jahat pencuri energi yang dikirim oleh Ratu Beryl dari Kerajaan Kegelapan yang jahat.

Tapi membiasakan diri dengan kekuatannya dan melawan penjahat bukanlah satu-satunya hal yang perlu dia khawatirkan. Dia harus menemukan putri Kerajaan Bulan yang hilang, Penjaga Pelaut lainnya, dan Kristal Perak Legendaris untuk menyelamatkan planet ini dari kehancuran."
531,Bishoujo Senshi Sailor Moon R: The Movie,"Drama, Romance","Ketika Mamoru masih kecil dia memberikan sekuntum mawar kepada seorang anak kecil bernama Fiore. Fiore berjanji suatu hari nanti dia akan membawakan Mamoru banyak bunga. Kini Fiore telah kembali ke bumi namun niatnya bukan sekedar memenuhi janji... 

(Sumber: JST)"
532,Bishoujo Senshi Sailor Moon S,"Fantasy, Romance","Para Penjaga Pelaut dan pemimpin mereka, Sailor Moon, melanjutkan tugas mereka melindungi Bumi dari siapa pun yang berani menyakitinya. Namun, visi apokaliptik Sailor Mars dan kemunculan dua penjaga baru—Sailor Neptune dan Sailor Uranus—menandakan bahwa pertempuran baru akan segera dimulai.
 
Para pendatang baru ini mencari tiga Jimat yang ada di dalam Kristal Hati Murni dalam diri manusia. Setelah disatukan, benda-benda tersebut membentuk The Holy Grail, sebuah peninggalan magis dengan kemampuan luar biasa. Mereka ingin menggunakan Grail untuk menyelamatkan dunia, namun sebuah organisasi jahat yang dikenal sebagai Death Busters mencari kekuatannya untuk keinginan mereka sendiri.

Penghapusan Jimat dari Kristal Hati seseorang akan menyebabkan kematian mereka, sesuatu yang Uranus dan Neptunus anggap sebagai pengorbanan yang diperlukan untuk membentuk Cawan, sementara Sailor Moon dan kelompoknya menganggapnya tidak bisa dimaafkan. Namun apakah pengorbanan apa pun bisa sepadan dengan biayanya jika bisa menyelamatkan nyawa seluruh umat manusia?"
533,Sensei no Ojikan: Dokidoki School Hours,Comedy,"Temui Suzuki Mika, guru di SMA Okitsu. Mika-sensei adalah guru yang baik, tapi dia punya masalah kecil... secara harfiah. Meskipun usianya 27 tahun, tingginya hanya 148 cm, dan memiliki wajah anak-anak. Akibatnya, sering kali sulit bagi Mika-sensei untuk membuat siapa pun menganggapnya serius. 

(Sumber: JST)"
534,Slayers,"Adventure, Comedy, Fantasy","Penyihir yang kuat dan tamak, Lina Inverse, berkeliling dunia, mencuri harta karun dari bandit yang melintasi jalannya. Korban terbarunya, sekelompok pencuri, menunggu penyergapan di hutan, haus akan balas dendam. Saat Lina hendak dengan mudah menghajar calon penyerangnya, pendekar pedang Gourry Gabriev tiba-tiba mengumumkan kehadirannya. Dengan asumsi Lina adalah gadis yang berada dalam kesulitan, pria bodoh namun murah hati itu menghadapi para perampok untuk menyelamatkannya. Setelah mengalahkan mereka dengan tergesa-gesa, orang angkuh yang tidak sadar itu memutuskan untuk mengawal Lina ke Kota Atlas. Meskipun tidak terlalu tertarik dengan ide ini, dia akhirnya menerima tawarannya.

Namun, tanpa disadari, Lina telah menemukan benda ajaib hebat di antara rampasan terbarunya. Sekarang dua pria misterius sedang memburu penyihir muda dan memproklamirkan diri sebagai walinya untuk mendapatkan benda kuat ini untuk tujuan yang tampaknya jahat. Dengan cara ini mereka memulai petualangan mereka, dimana nasib dunia itu sendiri mungkin dipertaruhkan."
535,Slayers Next,"Adventure, Comedy, Fantasy","Di kerajaan Xoana, Lina Inverse dan Gourry Gabriev tiba-tiba bertemu dengan teman lama mereka, Zelgadis Graywords dan Putri Ameilia Wil Tesla Saillune. Setelah reuni mereka, teman-teman tersebut akhirnya dengan mudah menggagalkan rencana pengecut Raja Xoana dan putrinya untuk menaklukkan dunia.

Segera setelah itu, terungkap bahwa Zelgadis sedang mencari buku magis paling berharga di dunia, Alkitab Claire, berharap menemukan metode untuk memulihkan tubuh manusianya di antara banyak rahasia yang tersimpan di dalamnya. Terlepas dari protesnya, anggota kelompok lainnya memutuskan untuk bergabung dalam misi tersebut setelah mendengar misinya. Namun, ketika mereka bertanya-tanya di mana harus mulai mencari buku legendaris tersebut, mereka menemukan seorang pendeta misterius bernama Xellos, yang mengklaim bahwa dia mungkin bisa membantu dalam pencarian mereka."
536,Slayers: The Motion Picture,"Adventure, Comedy, Fantasy","Dalam film prekuel serial televisi Slayers, Lina Inverse melakukan perjalanan ke Pulau Mipross bersama saingan/rekan seperjalanannya Naga si Ular. Meskipun mereka awalnya datang untuk sumber air panas, mereka segera menemukan diri mereka terlibat dalam konspirasi yang melibatkan mazoku bernama Joyrock. Bertahun-tahun yang lalu, dia membunuh semua elf yang menghuni pulau itu dan menyerap kekuatan mereka. Mereka segera bergabung dengan seorang penyihir tua bernama Rowdy Gabriev, yang jatuh cinta dengan salah satu elf yang dibantai dan juga ingin mengalahkan Joyrock. 

(Sumber: JST)"
537,Tekken,"Action, Adventure, Sci-Fi","Setelah terlempar dari tebing saat masih kecil, Kazuya Mishima mengikuti Turnamen Raja Tinju Besi untuk membalas dendam dari ayahnya, multi-miliarder Heihachi Mishima. Sementara itu, agen WWWC Jun Kazama dan detektif Hong Kong Lei Wulong juga mengikuti turnamen tersebut untuk menyelidiki aktivitas ilegal Heihachi yang melibatkan kloning dan rekayasa genetika. Sejumlah petarung terampil lainnya juga ikut serta hanya untuk memenangkan hadiah utama sebesar $1 miliar, tanpa mengetahui tujuan sebenarnya dari turnamen tersebut dan nasib yang menanti mereka. 

(Sumber: JST)"
538,Shin Tenchi Muyou!,"Comedy, Romance, Sci-Fi","Tenchi Masaki berangkat untuk menghadapi dunia besar, berangkat ke sekolah di Tokyo! Tapi tidak semua orang senang mendengar dia pindah, karena teman-teman wanitanya merajuk dan mengeluh karena dia akan sendirian. Namun, Tenchi tidak sendirian dalam waktu lama, karena ia segera bertemu dengan seorang gadis baik hati dan penuh kasih sayang bernama Sakuya Kumashiro yang membantunya terbiasa dengan kehidupan di Tokyo.

Keduanya menjadi teman dekat, tapi Sakuya menginginkan lebih dari itu, jadi dia menyatakan cintanya pada Tenchi. Pengakuan ini mengejutkan tidak hanya bagi Tenchi, tetapi juga para gadis di rumah. Sebagai tanggapan, gadis-gadis itu memutuskan untuk meningkatkan permainan mereka, dan mereka segera berbondong-bondong ke Tokyo untuk mengambil Tenchi untuk diri mereka sendiri. 

Saat para gadis bersaing untuk mendapatkan cintanya, Tenchi harus memutuskan siapa wanita paling penting dalam hidupnya. Namun, dia akan kesulitan mengambil keputusan, karena kejadian aneh mulai terjadi yang membuat Tenchi semakin menjauh dari teman-temannya."
539,Tenchi Muyou! Ryououki,"Action, Comedy, Sci-Fi","Tenchi Masaki yang berusia tujuh belas tahun tumbuh dengan mendengar cerita tentang bagaimana leluhurnya menggunakan pedang untuk menyegel iblis di dalam gua tujuh ratus tahun yang lalu. Ketika rasa ingin tahu menguasai dirinya, Tenchi pergi ke gua dan menemukan pedang dari legenda. Berpikir bahwa ceritanya tidak lebih dari dongeng, dia mencabut pedangnya dan secara tidak sengaja melepaskan iblis tersebut, yang ternyata adalah bajak laut luar angkasa bernama Ryouko Hakubi. Marah karena terjebak begitu lama, dia menyerang Tenchi, tapi Tenchi mampu mengusirnya dengan pedang, membangkitkan kekuatan batinnya. Setelah melihat ini, Ryouko menaruh minat pada penyelamatnya yang tidak terduga dan memutuskan untuk menginap di tempatnya.

Seolah-olah itu adalah reaksi berantai, lebih banyak wanita asing—Aeka Jurai Masaki, seorang putri tegang dari planet Jurai; Sasami, adik perempuan Aeka yang manis; Mihoshi Kuramitsu, Petugas Polisi Galaksi yang bodoh; dan Washuu Hakubi, seorang jenius yang cerdik—secara bertahap berhubungan dengan Tenchi dan mulai tinggal bersamanya. Melalui pertemuannya dengan lima wanita ini, Tenchi mulai belajar lebih banyak tentang nenek moyangnya, kekuatan barunya, dan ancaman yang mengintai di luar angkasa."
540,Tenchi Muyou! Ryououki 2nd Season,"Action, Comedy, Sci-Fi","Sementara galaksi tetap damai, Tenchi Masaki terus hidup di Bumi bersama Ryouko dan Washuu Hakubi, Aeka dan Sasami Jurai Masaki, Mihoshi Kuramitsu, dan makhluk mirip kucing Ryo-Ohki. Meskipun kedengarannya menyenangkan dikelilingi oleh begitu banyak wanita, mereka selalu menyulitkan Tenchi dengan terus-menerus memperjuangkan perhatiannya, dan upaya mereka dalam pekerjaan rumah tangga selalu berakhir dengan bencana.

Meskipun kehidupan menjadi lebih kacau sejak mereka pindah, Tenchi mulai menjalin ikatan yang kuat dengan teman sekamarnya dan mendapatkan lebih banyak wawasan tentang perjuangan dan sejarah mereka masing-masing."
541,Tenchi Muyou! Ryououki 3rd Season,"Action, Comedy, Sci-Fi","Sejak kekuatannya bangkit, Tenchi Masaki telah menarik perhatian banyak makhluk galaksi yang kuat, termasuk Lady Takami yang misterius yang mengirimkan prajurit terbaiknya, Z, untuk mengamatinya. Meskipun dia berada di bawah perintah tegas untuk tidak menyakiti Tenchi, Z tidak berniat mengikuti aturan dan mulai merencanakan kematiannya. 

Sementara itu, di Bumi, Tenchi mencoba mengumpulkan lebih banyak informasi tentang keluarganya dan alam semesta. Tapi seperti biasa, hidupnya tidak menjadi lebih mudah, karena seluruh rumah tangganya panik ketika Noike Kamiki Jurai—seorang wanita yang mengaku sebagai tunangan Tenchi—muncul tiba-tiba."
543,Vampire Hunter D (2000),"Action, Drama, Fantasy, Horror, Romance, Sci-Fi","Ceritanya berkisar pada D, ""dhampir"" yang terkenal (lahir dari ayah vampir dan ibu manusia), orang buangan dan pemburu vampir terkenal. Kehebatannya dalam berburu makhluk malam memungkinkan penerimaannya di antara manusia, ia dipanggil untuk menemukan Charlotte Elbourne, putri cantik dari keluarga kaya yang telah diculik secara misterius.

Saat matahari terbenam, perburuan berlanjut! Ayah Charlotte menawarkan hadiah yang besar, baik dia hidup atau mati, tugas yang D rela terima, bahkan dengan saudara laki-laki Markus yang terkenal kejam dan kelompok pemburu hadiah mereka juga mencari hadiah tersebut. Di tengah kejaran dan tidak diketahui semua orang, kejahatan jahat yang diam-diam telah memanipulasi setiap gerakan mereka dan telah memasang jebakan mengerikan yang tidak diharapkan oleh siapa pun dan hanya sedikit yang akan bertahan. Dengan keadaan berbalik dan rahasia terungkap, para pemburu bisa dengan cepat menjadi yang diburu!

(Sumber: AniDB)"
544,Venus Senki,"Action, Adventure, Sci-Fi","Pada abad ke-21, umat manusia hidup di dua dunia. Setelah tabrakan asteroid es, terraforming masif menjadikan Venus sebagai planet yang kini mampu mendukung kehidupan. Penjajah dari Bumi menjinakkan dunia yang bermusuhan dan telah berkembang selama empat generasi. Namun mereka juga membawa sisi gelap kemanusiaan. Venus akan bermusuhan lagi.

Hiro Seno, seorang joki sepeda motor jagoan, menyaksikan serangan pertama terhadap negaranya Aphrodia, oleh negara saingannya Ishtar. Tank tempur besar dan pesawat tempur dengan cepat menghancurkan kota. Tentara Aphrodian cepat melakukan mobilisasi dan membalas... dan meskipun menentang peperangan, Hiro mendapati dirinya berjuang untuk hidupnya di garis depan.

(Sumber: AnimeNfo)"
545,Mousou Kagaku Series: Wandaba Style,"Comedy, Sci-Fi","Ilmuwan jenius Tsukumo Susumu mengetahui setiap teori di balik aerodinamika yang ada di bumi meski baru berusia 13 tahun. Dia ingin melakukan perjalanan ke bulan tanpa menggunakan bahan bakar fosil yang menggerakkan roket. Maka dimulailah penelitian beratnya dengan menggunakan pengetahuannya dalam hukum fisika, teori ilmiah, dan imajinasi liarnya.

Subjek tesnya adalah grup idola Mix JUICE yang tidak populer (Himawari, Yuri, Ayame, Sakura). Mereka datang dengan berbagai macam ide gila untuk menjadi manusia pertama yang sukses menggelar konser di muka bulan. Akankah keempat gadis dari Mix JUICE berhasil berjuang menuju bulan?

(Sumber: AniDB)"
546,Wind: A Breath of Heart (TV),"Drama, Romance, Supernatural","Okano Makoto dipindahkan ke sekolah di kota asalnya. Di sana, dia menghabiskan hari-hari sekolah yang normal namun bahagia bersama saudara perempuannya, Hinata, teman sekelas yang lucu, Tachibana Tsutomu, Shikouin Kasumi, teman masa kecil Tsutomu, dan teman-teman lainnya.

Suatu hari, sepulang sekolah, Makoto mendengar seseorang memainkan harmonika. Melodi itu membuatnya merasakan sesuatu yang kuno, dan membawanya ke atap gedung sekolah. Di sana, dia bertemu dengan seorang gadis di senja hari.

Narukaze Minamo-lah yang menoleh ke arahnya sambil tersenyum. Dia adalah teman masa kecil, tapi mereka telah hidup terpisah selama bertahun-tahun.
Menyembunyikan pikiran mereka yang sebenarnya, Makoto dan teman-temannya menghabiskan hidup mereka di sekolah. Kisah mereka di kota misterius akan segera dimulai.

(Sumber: AniDB)"
547,Wind: A Breath of Heart OVA,"Drama, Romance, Supernatural","Kota Kazenone, adalah kota yang membuat orang-orang bernostalgia dan bertanya-tanya.
Itu juga merupakan negara asal Okano Makoto dan adik perempuannya, Hinata. Mereka kembali ke kota ini untuk mencari ibu mereka yang menghilang secara tiba-tiba. Teman-teman dan teman masa kecil mereka menyambut kepulangan mereka. Makoto mulai menyadari sesuatu yang penting melalui pertemuannya dengan mereka. Dengan nada harmonika, dan dengan pemikiran mereka di dalam hati, kisah fantastis dimulai di kota misterius ini.

(Sumber: AnimeNfo)"
548,Wonderful Days,"Action, Drama, Romance, Sci-Fi","Berlatar tahun 2142, Wonderful Days menggambarkan dunia yang hampir hancur akibat pencemaran lingkungan. Kehidupan manusia seperti yang kita tahu hampir punah, dan hanya sedikit yang mampu bertahan dari keruntuhan ekosistem bumi. Untuk mengatasi kekacauan tersebut, sebuah kota bernama Ecoban diciptakan. Kota ini menggunakan polusi yang menyebabkan bencana tersebut sebagai sumber energi.

Namun, meski rencana awal berhasil, tidak hanya menciptakan sumber energi baru, tetapi juga sekelompok masyarakat elit. Fraksi prestisius ini menilai mereka berada di atas sistem, dan tidak bersedia menerima penyintas dari luar kota kecuali mereka dipekerjakan sebagai buruh.

Di antara orang-orang yang tinggal di gurun di luar Ecoban adalah seorang pemuda bernama Shua. Dia menjalani kehidupan yang sangat sulit, namun mencoba memanfaatkannya sebaik mungkin melalui cinta yang dia rasakan untuk teman masa kecilnya, Jay. Sayangnya, Jay mungkin lebih tertarik pada komandan keamanannya Cade daripada Shua, dan dengan demikian cinta segitiga pun terbentuk. Shua tidak hanya harus menghadapi patah hati, tapi dia juga harus menemukan cara baru untuk bertahan hidup di sisa-sisa planet Bumi yang dulunya indah."
550,Yu☆Gi☆Oh!,"Action, Comedy, Fantasy","Penindas sering kali menargetkan seseorang yang lemah dan lemah—seseorang yang persis seperti Yuugi Mutou. Teman masa kecilnya yang cantik, Anzu Mazaki, selalu ada untuk membela dia, tapi dia tidak bisa bergantung padanya selamanya. Katsuya Jonouchi yang hampir selalu ditemani rekan tanding verbalnya Hiroto Honda juga tidak terlihat seperti orang jahat, meski selalu merepotkan Yuugi. Namun yang terpenting, Yuugi menginginkan seorang teman sejati yang memahaminya dan tidak akan pernah mengkhianatinya.

Yuugi menghargai Millennium Puzzle miliknya, artefak Mesir kuno yang dibawa ke toko permainan kakeknya. Percaya bahwa memecahkan teka-teki akan mengabulkan keinginannya, dia menyelesaikan teka-teki tersebut, melepaskan kepribadian baru dalam dirinya—jiwa ""Raja Permainan"".

Gelap, bengkok, kuat, dan dapat diandalkan, kepribadian baru bernama Yami Yuugi adalah kebalikan dari Yuugi. Atas ketidakadilan apa pun terhadapnya, Yami Yuugi mengambil alih tubuh Yuugi dan memaksa lawannya melakukan ""Permainan Bayangan"". Taruhannya tinggi karena siapa pun yang kalah akan merasakan kegelapan yang bersemayam di dalam hati mereka sendiri."
551,Grappler Baki: Saidai Tournament-hen,Sports,"Mitsunari Tokugawa, penyelenggara arena pertarungan bawah tanah Tokugawa yang bersejarah, telah menciptakan sebuah turnamen yang menampilkan 38 petarung terbaik dunia, banyak di antaranya adalah grandmaster dalam seni bela diri masing-masing. Kecuali senjata, apa pun ada di dalam ring Tokugawa sehingga setiap petarung dapat menunjukkan kekuatan sejati dan jurus rahasia terkuatnya.

Baki Hanma mendapat tempat di turnamen tersebut karena statusnya sebagai juara bertahan ring pertarungan Tokugawa. Akankah dia bisa menjadi yang teratas?"
552,Digimon Adventure,"Action, Adventure, Comedy, Fantasy","Saat sekelompok tujuh anak pergi ke perkemahan musim panas, hal terakhir yang mereka harapkan adalah salju turun di bulan Juli. Dalam kebingungan yang terjadi setelah fenomena ini, mereka masing-masing menerima perangkat aneh yang membawa mereka ke dunia lain. Begitu mereka terbangun di dunia baru ini, mereka bertemu dengan makhluk aneh yang menyebut diri mereka ""Digimon"". Digimon memberitahu mereka bahwa mereka telah mendarat di ""Dunia Digital"", jauh dari rumah.

Dengan hanya Digimon dan ""Digivices"" sebagai perlindungan, ketujuh anak berangkat mencari jalan pulang dan mengetahui alasan mengapa mereka dibawa ke sini. Dipimpin oleh Taichi Yagami yang impulsif dan rekan Digimonnya yang lapar, Agumon, kelompok ini harus melawan kejahatan yang tidak diketahui saat mereka menemukan lebih banyak tentang Dunia Digital yang aneh ini."
553,Yami no Matsuei,"Boys Love, Comedy, Drama, Fantasy, Horror","Bahkan setelah kematian, hidup penuh dengan dokumen dan penjahat. Tsuzuki Asato adalah shinigami (dewa kematian) berusia 26 tahun, ceria, dan norak yang bertugas memastikan bahwa mereka yang mati tetap mati dan tetap berada di alam yang semestinya. Meskipun dia sudah menjalani pekerjaan ini selama lebih dari 70 tahun, dia berada di divisi terburuk dengan gaji yang sangat buruk. Dia juga mempunyai kemampuan untuk tidak menjaga pasangan (karena shinigami bekerja berpasangan), tapi sekarang dia tampaknya memiliki pasangan yang bisa bertahan; keras kepala, bermulut cerdas, serius dan defensif, berusia 16 tahun, Kurosaki Hisoka. Dengan setiap kasus yang mereka selidiki, mereka semakin dekat dengan konspirasi pembunuh berantai Dr. Muraki Kazutaka. Hubungan Tsuzuki dengan Hisoka semakin kuat dan dekat...tapi ada masa lalu kelam tentang bagaimana Tsuzuki meninggal yang tidak akan memberinya kedamaian. 

(Sumber: JST)"
554,Koutetsu Tenshi Kurumi,"Action, Adventure, Comedy, Drama, Romance","Selama Era Taisho Jepang (1912-1926), seorang ilmuwan bernama Ayanokoji mengembangkan Steel Angel - sebuah humanoid buatan dengan kemampuan fisik manusia super. Sementara Tentara Kekaisaran ingin menggunakan Malaikat Baja sebagai alat perang modern baru, Ayanokoji ingin ciptaannya menjadi langkah baru di masa depan umat manusia. Karena itu, dia menentang perintah Angkatan Darat dan diam-diam membuat Malaikat Baja dengan nama sandi ""Kurumi"". Lalu suatu hari, seorang anak laki-laki bernama Nakahito Kagura menyelinap ke rumah Ayanokoji karena tantangan dari teman-temannya dan menemukan tubuh Kurumi yang tak bernyawa. Serangan mendadak oleh Tentara Kekaisaran mengguncang rumah, menyebabkan Kurumi terjatuh menimpa Nakahito. Pada saat itu, bibir mereka bertemu, dan Kurumi terbangun dari “ciuman yang memulai keajaiban”. 

(Sumber: JST)"
555,Koutetsu Tenshi Kurumi 2,"Comedy, Girls Love, Sci-Fi","Berlangsung 75 tahun setelah seri pertama, Steel Angel Kurumi 2 membawa Steel Angels dalam petualangan baru yang salah. Siswa sekolah menengah dan calon pemain cello Nako Kagura secara tidak sengaja menemukan dan mencium Kurumi Mk. II di rumahnya, sehingga menjadikannya master Kurumi. Tapi segalanya menjadi serba salah ketika sahabat Nako, Uruka, cemburu dan mencoba apa pun - termasuk pasukan mecha rahasia milik ayahnya - untuk menghancurkan Kurumi dan memenangkan kembali Nako. Segalanya menjadi semakin tidak terkendali ketika Saki Mk. II dibangunkan oleh Uruka, dan Karinka Mk. Aku bergabung untuk mencuri Nako dari Kurumi. 

(Sumber: JST)"
556,Koutetsu Tenshi Kurumi Zero,"Drama, Romance, Sci-Fi","Suatu saat di masa depan, Kurumi, Saki, dan Karinka berbagi apartemen dengan gadis lain bernama Excelia. Suatu hari, sepulang sekolah, Kurumi memberitahu semua orang bahwa dia jatuh cinta dengan seorang pria yang dia temui bernama Michihito Kagura, tapi dia tidak tahu kapan dia akan bertemu dengannya lagi. 

(Sumber: JST)"
557,Koutetsu Tenshi Kurumi Encore,"Comedy, Romance, Sci-Fi","Empat cerita pendek tambahan dari Steel Angels: Saki menjadi aktris film, Karinka melakukan kencan buta dengan Kamihito, Kurumi mempraktikkan seni menjadi wanita tradisional Jepang, dan Steel Angels lainnya terlibat dalam kontes untuk memenangkan hati Nakahito. 

(Sumber: JST)"
